Base,SingleMineral,hotkey00,hotkey01,hotkey02,hotkey10,hotkey11,hotkey12,hotkey20,hotkey21,hotkey22,hotkey30,hotkey31,hotkey32,hotkey40,hotkey41,hotkey42,hotkey50,hotkey51,hotkey52,hotkey60,hotkey61,hotkey62,hotkey70,hotkey71,hotkey72,hotkey80,hotkey81,hotkey82,hotkey90,hotkey91,hotkey92,race,battleneturl
0,0,0,0,0,1,0,65,1,0,0,1,0,0,0,0,0,1,0,31,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
0,0,0,0,0,1,0,25,1,0,27,1,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2334176/1/Armani/
4,0,0,0,0,1,0,60,3,0,0,1,0,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
35,0,1,0,0,1,0,23,4,0,17,1,0,4,1,0,9,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
29,0,1,0,0,1,0,25,2,0,25,1,0,0,1,0,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
0,0,0,0,0,1,0,57,2,0,0,1,0,0,0,0,0,1,0,38,1,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
0,0,0,0,0,1,0,29,3,0,6,1,0,0,0,0,0,1,0,44,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
46,0,1,0,0,1,0,23,4,0,10,1,0,0,1,0,4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
0,0,0,0,0,1,0,36,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,1,0,0,0,0,0,2,0,1,2,0,19,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
0,0,0,0,0,1,0,34,0,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,1,0,7,0,0,0,1,0,0,1,0,18,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
0,0,0,0,0,3,0,20,1,0,1,1,0,1,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,2,0,0,2,0,23,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
2,0,0,0,0,0,0,0,1,0,44,0,0,0,1,0,0,1,0,51,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
2,0,1,0,0,1,0,66,1,0,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2345102/1/Tassadar/
2,0,0,0,0,0,0,0,1,0,28,0,0,0,1,0,0,1,0,67,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
0,0,1,0,0,1,0,65,1,0,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2345102/1/Tassadar/
0,0,0,0,0,1,0,35,0,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,0,1,0,0,1,0,64,1,0,31,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
0,0,0,0,0,1,0,30,0,0,0,1,0,3,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,0,1,0,0,1,0,66,1,0,29,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
0,0,0,0,0,1,0,31,0,0,0,1,0,5,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/
0,0,1,0,0,1,0,58,1,0,35,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
2,0,0,0,0,0,0,0,1,0,25,0,0,0,1,0,0,1,0,70,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
1,2,1,0,1,1,0,2,2,0,16,1,0,3,1,0,16,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2345102/1/Tassadar/
0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,2,0,0,2,0,20,Protoss,http://kr.battle.net/sc2/en/profile/2345102/1/Tassadar/
2,0,0,0,0,0,0,0,1,0,31,0,0,0,1,0,0,1,0,64,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
2,0,1,0,0,1,0,59,1,0,31,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
5,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,0,0,0,0,2,0,0,2,0,13,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
2,0,1,0,0,1,0,61,2,0,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
2,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0,0,0,0,0,0,2,0,0,2,0,18,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
0,0,1,0,0,1,0,64,1,0,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2333068/1/DRG/
0,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,2,0,0,2,0,17,Zerg,http://kr.battle.net/sc2/en/profile/2342294/1/Impact/
1,0,0,0,0,4,0,32,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/
0,0,1,0,0,2,0,13,0,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344031/1/Cure/
3,0,0,0,0,6,0,28,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/
0,29,1,0,0,1,0,3,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344031/1/Cure/
2,0,1,0,0,1,0,0,1,0,23,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
3,0,0,0,0,1,0,55,4,0,0,5,0,4,3,0,20,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
2,0,1,0,0,2,0,0,2,0,24,1,0,62,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
3,1,0,0,0,1,0,59,3,0,0,4,0,6,3,0,15,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
1,1,0,0,0,2,0,0,2,0,21,1,0,68,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
2,1,0,0,0,1,0,60,2,0,0,3,0,6,2,0,20,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
1,0,1,0,0,2,0,0,2,0,12,1,0,75,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
2,0,0,0,0,7,0,17,1,0,64,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/
1,1,0,0,0,1,0,0,1,0,9,1,0,82,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/
2,0,0,0,0,7,0,7,1,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
3,1,0,0,0,1,0,53,4,0,0,5,0,6,4,0,18,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
0,25,1,0,0,1,0,3,0,0,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344031/1/Cure/
3,0,0,0,0,1,0,61,2,0,1,3,0,22,1,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
0,26,1,0,0,2,0,10,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344031/1/Cure/
2,0,0,0,0,1,0,56,2,0,0,2,0,3,1,0,29,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
1,0,1,0,0,2,0,0,2,0,19,1,0,69,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
1,0,1,0,0,3,0,0,3,0,19,1,0,67,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
3,3,0,0,0,1,0,59,2,0,0,3,0,9,1,0,16,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
1,0,0,0,0,1,0,0,1,0,13,1,0,80,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/
2,1,0,0,0,1,0,60,3,0,0,4,0,9,3,0,13,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
0,0,0,0,0,3,0,32,2,0,10,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342343/1/Solar/
0,0,1,0,0,1,0,34,3,0,14,1,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
0,0,0,0,0,4,0,9,2,0,12,1,0,15,2,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342343/1/Solar/
0,0,1,0,0,1,0,33,11,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
6,0,1,0,0,1,0,17,7,0,38,1,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,60,1,0,31,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
12,0,1,0,0,1,0,18,6,0,41,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,37,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
12,0,1,0,0,1,0,18,6,0,41,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,1,0,38,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
3,0,0,0,0,6,0,25,1,0,14,0,0,0,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342343/1/Solar/
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,1,0,40,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
0,0,0,0,0,8,0,32,2,0,4,0,0,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342343/1/Solar/
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,1,0,41,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
0,0,1,0,0,1,0,43,9,0,14,2,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
4,0,1,0,0,1,0,22,4,0,41,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
10,1,1,0,0,1,0,15,8,0,37,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
0,0,1,0,0,1,0,39,5,0,14,3,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
5,0,1,0,0,1,0,23,4,0,40,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341575/1/Dear/
0,0,1,0,0,1,0,51,14,0,13,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,57,1,0,39,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
0,0,1,0,0,1,0,31,10,0,6,2,0,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
0,0,1,0,0,2,0,34,5,0,13,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,1,0,40,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2343910/1/Journey/
0,5,0,0,0,6,0,40,1,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
2,1,1,0,0,1,0,49,0,0,0,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344252/1/Reality/
2,0,1,0,0,1,0,50,3,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
0,1,1,0,0,4,0,44,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344252/1/Reality/
2,0,1,0,0,1,0,47,1,0,0,15,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
0,0,1,0,0,4,0,46,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344252/1/Reality/
0,0,0,0,0,0,0,0,1,0,12,1,0,28,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
0,0,0,0,0,1,0,58,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344780/1/hyvaa/
2,0,0,0,0,0,0,0,1,0,16,1,0,13,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
2,0,0,0,0,1,0,61,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344780/1/hyvaa/
2,0,1,0,0,1,0,52,1,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
0,0,0,0,0,1,0,2,1,0,21,1,0,20,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
2,0,1,0,0,1,0,50,1,0,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
0,0,0,0,0,0,0,0,1,0,25,0,0,0,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
2,0,1,0,0,1,0,51,1,0,0,21,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
0,1,0,0,0,0,0,0,1,0,5,1,0,30,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
2,0,0,0,0,1,0,56,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344780/1/hyvaa/
0,6,1,0,0,4,0,41,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2344252/1/Reality/
